SVC,QSVC,RandomForest,VQC
0.9,1.0,0.8666666666666667,0.8
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.8666666666666667
1.0,1.0,0.9333333333333332,1.0
0.8666666666666667,0.9666666666666668,0.7666666666666667,0.8
1.0,0.9666666666666668,0.9666666666666668,0.9
0.9666666666666668,0.9666666666666668,0.9333333333333332,0.9333333333333332
0.9,0.9333333333333332,0.9,0.8
0.9666666666666668,0.9333333333333332,0.9666666666666668,0.8333333333333334
0.9,0.9666666666666668,0.9,0.8
0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667
0.8666666666666667,0.9666666666666668,0.7666666666666667,0.8333333333333334
0.9333333333333332,1.0,0.8333333333333334,0.9
0.8666666666666667,0.9666666666666668,0.8333333333333334,0.7666666666666667
0.9,1.0,0.8666666666666667,0.8333333333333334
0.9666666666666668,1.0,0.9,0.9333333333333332
0.9,0.9333333333333332,0.8666666666666667,0.8333333333333334
0.7666666666666667,1.0,0.7333333333333333,0.7666666666666667
0.9666666666666668,0.9333333333333332,0.9333333333333332,0.9
0.9,1.0,0.8666666666666667,0.8333333333333334
0.9666666666666668,1.0,0.9333333333333332,0.8666666666666667
0.8666666666666667,0.9333333333333332,0.8333333333333334,0.7666666666666667
0.8666666666666667,1.0,0.8,0.8
1.0,0.9,0.9666666666666668,0.8666666666666667
0.9333333333333332,0.9666666666666668,0.9,0.9
0.9333333333333332,1.0,0.9,0.9333333333333332
0.9666666666666668,1.0,0.9,0.9
0.9,0.9666666666666668,0.8666666666666667,0.8333333333333334
0.9,1.0,0.9,0.9
0.9,0.9666666666666668,0.9,0.7666666666666667
1.0,0.9666666666666668,1.0,0.9333333333333332
0.9,0.9333333333333332,0.9,0.8
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9333333333333332
0.9666666666666668,0.9333333333333332,0.9333333333333332,0.8666666666666667
0.9666666666666668,0.8333333333333334,0.9666666666666668,0.8
1.0,0.9333333333333332,0.9333333333333332,0.9333333333333332
0.9333333333333332,1.0,0.9333333333333332,0.9333333333333332
0.9666666666666668,0.9,0.9333333333333332,0.8666666666666667
0.9333333333333332,0.9666666666666668,0.8333333333333334,0.8666666666666667
1.0,0.9666666666666668,0.9333333333333332,0.9666666666666668
0.9333333333333332,1.0,0.9,0.8333333333333334
0.9666666666666668,0.9666666666666668,0.8666666666666667,0.9
0.9333333333333332,0.9666666666666668,0.9,0.9
0.9333333333333332,1.0,0.8666666666666667,0.9333333333333332
